# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
152.96,270.2102
153.04,270.9522
153.12,267.9536
153.20,269.1403
153.28,268.8713
153.36,267.0078
153.44,266.2928
153.52,267.6585
153.60,264.9804
153.68,265.2803
153.76,265.6419
153.84,264.7590
153.92,265.2746
154.00,267.2041
154.08,266.0757
154.16,263.6439
154.24,265.5940
154.32,264.8248
154.40,266.3974
154.48,264.7764
154.56,266.1746
154.64,263.4031
154.72,262.3381
154.80,261.4161
154.88,264.7291
154.96,262.2193
155.04,262.0173
155.12,258.5825
155.20,261.1850
155.28,264.1684
155.36,262.2472
155.44,258.4817
155.52,259.4842
155.60,258.8216
155.68,258.7271
155.76,259.0796
155.84,258.3400
155.92,261.5891
156.00,259.0570
156.08,255.9527
156.16,257.5932
156.24,257.5449
156.32,255.9839
156.40,252.1788
156.48,256.1639
156.56,252.1326
156.64,254.2037
156.72,252.7464
156.80,251.2097
156.88,252.4703
156.96,253.0018
157.04,252.2138
157.12,253.8162
157.20,250.7157
157.28,252.9804
157.36,250.0734
157.44,254.0357
157.52,250.7145
157.60,248.0621
157.68,248.8150
157.76,248.0047
157.84,251.2896
157.92,250.0611
158.00,250.2259
158.08,251.8843
158.16,246.7787
158.24,249.7242
158.32,248.3864
158.40,247.2476
158.48,243.7191
158.56,245.4726
158.64,245.0658
158.72,248.7667
158.80,246.0410
158.88,251.9819
158.96,249.4278
159.04,247.0339
159.12,246.4512
159.20,244.0948
159.28,244.7944
159.36,247.5641
159.44,245.7073
159.52,243.5574
159.60,242.1399
159.68,246.1996
159.76,242.0279
159.84,243.4846
159.92,244.8484
160.00,246.2527
160.08,240.6598
160.16,244.7926
160.24,244.6200
160.32,244.9023
160.40,243.8597
160.48,243.6513
160.56,239.2288
160.64,237.5180
160.72,236.6141
160.80,237.7217
160.88,238.5344
160.96,237.2717
161.04,239.1774
161.12,238.8508
161.20,235.7995
161.28,238.6777
161.36,237.7410
